Year,University,In-State Tuition,Out of State Tuition,NonResident Tuition
2015,The University of Southern Mississippi,,,
2016,The University of Southern Mississippi,7854,9854,9854
2017,The University of Southern Mississippi,,,
2018,The University of Southern Mississippi,8514,10514,10514
2019,The University of Southern Mississippi,8786,10786,10786
2020,The University of Southern Mississippi,8786,10786,10786
2021,The University of Southern Mississippi,9204,11204,11204
2022,The University of Southern Mississippi,9340,11340,11340
2023,The University of Southern Mississippi,9508,9508,11904
2024,The University of Southern Mississippi,9888,11888,11888
